"","time","gold","silver"
"291","2003-02-11",215.3,181.42
"292","2003-02-12",209.37,178.93
"293","2003-02-13",212.17,179.97
"294","2003-02-14",208.91,179.97
"295","2003-02-17",208.91,179.97
"296","2003-02-18",204.25,180.83
"297","2003-02-19",207.64,183.56
"298","2003-02-20",209.49,185.04
"299","2003-02-21",208.72,185.24
"300","2003-02-24",211.47,187.28
"301","2003-02-25",209.1,184.43
"302","2003-02-26",210.12,184.95
"303","2003-02-27",205.44,181.24
"304","2003-02-28",207.88,182.23
"305","2003-03-03",207.31,185.1
"306","2003-03-04",209.69,185.11
"307","2003-03-05",209.63,183.73
"308","2003-03-06",211.84,185.16
"309","2003-03-07",208.28,185.76
"310","2003-03-10",210.62,185.46
"311","2003-03-11",208.13,185.86
"312","2003-03-12",205.8,183.69
"313","2003-03-13",199.48,179.93
"314","2003-03-14",199.84,179.86
"315","2003-03-17",200.21,176.38
"316","2003-03-18",200.58,176.9
"317","2003-03-19",199.69,175.2
"318","2003-03-20",197.8,175.01
"319","2003-03-21",193.66,172.56
"320","2003-03-24",195.7,173.17
"321","2003-03-25",195.05,174.17
"322","2003-03-26",196.12,174.37
"323","2003-03-27",195.12,174.18
"324","2003-03-28",196.97,175.77
"325","2003-03-31",199.65,177.06
"326","2003-04-01",198.65,175.95
"327","2003-04-02",195.81,174.57
"328","2003-04-03",193.03,175.01
"329","2003-04-04",193.22,175.09
"330","2003-04-07",190.98,175.43
"331","2003-04-08",191.4,177.61
"332","2003-04-09",193.36,177.82
"333","2003-04-10",194.02,178.1
"334","2003-04-11",194.74,178.22
"335","2003-04-14",192.62,180.02
"336","2003-04-15",192.99,179.43
"337","2003-04-16",193.47,177.94
"338","2003-04-17",194.24,177.35
"339","2003-04-18",194.24,177.35
"340","2003-04-21",198,179.94
"341","2003-04-22",198.54,182.4
"342","2003-04-23",196.83,183.51
"343","2003-04-24",198.74,184.31
"344","2003-04-25",197.91,183.8
"345","2003-04-28",198.58,181.8
"346","2003-04-29",198.11,180.62
"347","2003-04-30",201.32,184.07
"348","2003-05-01",203.11,188.94
"349","2003-05-02",202.46,189.82
"350","2003-05-05",203.25,190.55
"351","2003-05-06",203.38,189.96
"352","2003-05-07",203.03,187.67
"353","2003-05-08",206.89,190.05
"354","2003-05-09",207.01,189.98
"355","2003-05-12",208.81,192.85
"356","2003-05-13",207.86,190.99
"357","2003-05-14",209.23,192.86
"358","2003-05-15",209.41,189.22
"359","2003-05-16",210.66,189.62
"360","2003-05-19",216.3,190.83
"361","2003-05-20",217.55,188.93
"362","2003-05-21",220.93,187.08
"363","2003-05-22",218.51,184.59
"364","2003-05-23",218.99,184
"365","2003-05-26",218.99,184
"366","2003-05-27",218.42,183.15
"367","2003-05-28",216.89,183.75
"368","2003-05-29",219.56,181.18
"369","2003-05-30",216.55,179.52
"370","2003-06-02",217.46,178.55
"371","2003-06-03",216.99,178.63
"372","2003-06-04",215.4,178.24
"373","2003-06-05",218.9,178.25
"374","2003-06-06",215.94,180.04
"375","2003-06-09",214.84,178.98
"376","2003-06-10",209.04,177.09
"377","2003-06-11",211.06,178.28
"378","2003-06-12",209.7,178.51
"379","2003-06-13",211.66,181.32
"380","2003-06-16",213.16,182.8
"381","2003-06-17",215.6,182.73
"382","2003-06-18",212.05,180.68
"383","2003-06-19",214.42,181.12
"384","2003-06-20",211.4,179.5
"385","2003-06-23",209.46,180.7
"386","2003-06-24",205.5,178.96
"387","2003-06-25",207.22,180.82
"388","2003-06-26",204.02,179.13
"389","2003-06-27",204.8,178.54
"390","2003-06-30",205.29,180.53
"391","2003-07-01",208.49,181.21
"392","2003-07-02",208.44,183.58
"393","2003-07-03",208.27,185.48
"394","2003-07-04",208.27,185.48
"395","2003-07-07",206.57,187.28
"396","2003-07-08",204.2,187.56
"397","2003-07-09",203.91,190.73
"398","2003-07-10",204.35,190.34
"399","2003-07-11",204.69,189.95
"400","2003-07-14",206.3,189.64
"401","2003-07-15",203,184.15
"402","2003-07-16",203.59,184.36
"403","2003-07-17",204.25,184.95
"404","2003-07-18",206.08,187.01
"405","2003-07-21",208.28,187.82
"406","2003-07-22",208.11,189.4
"407","2003-07-23",212.84,200.48
"408","2003-07-24",215.03,202.07
"409","2003-07-25",215.33,200.69
"410","2003-07-28",216.59,205.45
"411","2003-07-29",214.76,204.27
"412","2003-07-30",211.52,200.12
"413","2003-07-31",210.17,202.5
"414","2003-08-01",205.45,201.59
"415","2003-08-04",207.3,198.57
"416","2003-08-05",207.48,195.41
"417","2003-08-06",208.19,196.6
"418","2003-08-07",209.2,199.29
"419","2003-08-08",211.45,197.49
"420","2003-08-11",214.66,197.83
"421","2003-08-12",212.72,192.41
"422","2003-08-13",214.91,199.08
"423","2003-08-14",217.16,199.24
"424","2003-08-15",215.51,195.03
"425","2003-08-18",212.69,195.04
"426","2003-08-19",214.53,197.77
"427","2003-08-20",216.9,198.88
"428","2003-08-21",213.83,195.89
"429","2003-08-22",215.31,197.98
"430","2003-08-25",214.21,197.84
"431","2003-08-26",216.81,198.28
"432","2003-08-27",221.13,203.41
"433","2003-08-28",219.66,203.18
"434","2003-08-29",222.74,202.48
"435","2003-09-01",222.74,202.48
"436","2003-09-02",221.29,197.69
"437","2003-09-03",221.71,200.45
"438","2003-09-04",221.12,198.68
"439","2003-09-05",223.91,203.23
"440","2003-09-08",222.45,201.55
"441","2003-09-09",226.36,207.79
"442","2003-09-10",225.36,207.79
"443","2003-09-11",225.19,210.96
"444","2003-09-12",222.89,205.91
"445","2003-09-15",222.13,205.65
"446","2003-09-16",221.55,206.44
"447","2003-09-17",223.15,208.9
"448","2003-09-18",223.39,207.84
"449","2003-09-19",226.47,208.91
"450","2003-09-22",229.69,208.25
"451","2003-09-23",228.92,207.07
"452","2003-09-24",229.76,209.65
"453","2003-09-25",228.28,206.18
"454","2003-09-26",225.86,203.14
"455","2003-09-29",226.71,200.39
"456","2003-09-30",228.43,203.04
"457","2003-10-01",227.79,201.59
"458","2003-10-02",227.02,201.4
"459","2003-10-03",218.92,190.94
"460","2003-10-06",220.89,190.16
"461","2003-10-07",223.56,192.73
"462","2003-10-08",222.5,192.34
"463","2003-10-09",218.84,191.24
"464","2003-10-10",221.39,193.93
"465","2003-10-13",222.35,196.71
"466","2003-10-14",222.66,194.82
"467","2003-10-15",220.83,195.42
"468","2003-10-16",220.89,194.44
"469","2003-10-17",220.3,195.15
"470","2003-10-20",221.62,197.74
"471","2003-10-21",226.13,200.23
"472","2003-10-22",228.97,202.88
"473","2003-10-23",227.92,204.35
"474","2003-10-24",230.41,204.08
"475","2003-10-27",229.83,205.16
"476","2003-10-28",227,201.41
"477","2003-10-29",229.13,203.2
"478","2003-10-30",227.6,202.92
"479","2003-10-31",227.73,200.16
"480","2003-11-03",223.3,194.72
"481","2003-11-04",225.03,198.8
"482","2003-11-05",226.63,197.03
"483","2003-11-06",225.45,195.93
"484","2003-11-07",227.06,199.92
"485","2003-11-10",229.03,201.2
"486","2003-11-11",229.92,200.3
"487","2003-11-12",233.98,210.9
"488","2003-11-13",233.58,209.33
"489","2003-11-14",235.77,214.06
"490","2003-11-17",232.01,206.71
"491","2003-11-18",235.62,212.27
"492","2003-11-19",233.97,208.5
"493","2003-11-20",233.26,208.19
"494","2003-11-21",234.69,209.53
"495","2003-11-24",232.05,207.66
"496","2003-11-25",231.88,209.83
"497","2003-11-26",235.19,212.08
"498","2003-11-27",235.19,212.08
"499","2003-11-28",235.2,212.09
"500","2003-12-01",238.65,215.58
"501","2003-12-02",239.13,217.55
"502","2003-12-03",239.25,216.45
"503","2003-12-04",238.9,215.67
"504","2003-12-05",240.74,216.46
"505","2003-12-08",240.88,219.16
"506","2003-12-09",241.71,222.91
"507","2003-12-10",240.6,221.54
"508","2003-12-11",239.66,220.64
"509","2003-12-12",242.44,222.34
"510","2003-12-15",242.34,223.02
"511","2003-12-16",241.46,222.56
"512","2003-12-17",244.01,225.05
"513","2003-12-18",243.07,225.84
"514","2003-12-19",242.36,226.24
"515","2003-12-22",243.21,225.74
"516","2003-12-23",243.39,226.66
"517","2003-12-24",244.11,228.44
"518","2003-12-25",244.11,228.44
"519","2003-12-26",244.12,228.45
"520","2003-12-29",245.62,233.87
"521","2003-12-30",246.75,236.36
"522","2003-12-31",246.1,235.26
"523","2004-01-01",246.1,235.26
"524","2004-01-02",246.11,235.27
"525","2004-01-05",251.28,246.33
"526","2004-01-06",250.34,249.61
"527","2004-01-07",249.81,247.05
"528","2004-01-08",251.06,247.45
"529","2004-01-09",252.49,256.3
"530","2004-01-12",252.39,261.05
"531","2004-01-13",250.89,260.27
"532","2004-01-14",249.67,253.69
"533","2004-01-15",241.83,245.13
"534","2004-01-16",240.89,249.75
"535","2004-01-19",240.89,249.75
"536","2004-01-20",244.4,249.5
"537","2004-01-21",243.4,244.97
"538","2004-01-22",242.75,250.58
"539","2004-01-23",241.58,250.98
"540","2004-01-26",240.83,249.1
"541","2004-01-27",242.78,258.7
"542","2004-01-28",245.51,261.67
"543","2004-01-29",235.83,245.89
"544","2004-01-30",237.9,246.68
"545","2004-02-02",235.79,238.53
"546","2004-02-03",236.15,241.69
"547","2004-02-04",237.22,242.69
"548","2004-02-05",235.52,241.71
"549","2004-02-06",238.71,247.83
"550","2004-02-09",240.62,253.77
"551","2004-02-10",240.39,252.21
"552","2004-02-11",242.58,258.94
"553","2004-02-12",244.65,261.39
"554","2004-02-13",242.65,259.9
"555","2004-02-16",242.65,259.9
"556","2004-02-17",246.04,267.77
"557","2004-02-18",243.86,264.62
"558","2004-02-19",242.39,263.02
"559","2004-02-20",235.13,258.1
"560","2004-02-23",235.92,256.42
"561","2004-02-24",239.18,261.63
"562","2004-02-25",234.04,258.21
"563","2004-02-26",233.69,265.15
"564","2004-02-27",234.47,264.57
"565","2004-03-01",236.14,273.65
"566","2004-03-02",232.72,264.99
"567","2004-03-03",232.07,266.06
"568","2004-03-04",232.38,266.7
"569","2004-03-05",237.35,275.45
"570","2004-03-08",236.95,275.47
"571","2004-03-09",239.08,282.97
"572","2004-03-10",236.61,283.17
"573","2004-03-11",237.03,283.5
"574","2004-03-12",233.85,278.38
"575","2004-03-15",236.23,281.44
"576","2004-03-16",238,282.51
"577","2004-03-17",240.66,286.18
"578","2004-03-18",243.15,294.27
"579","2004-03-19",243.98,298.14
"580","2004-03-22",246.89,300.73
"581","2004-03-23",248.31,303.89
"582","2004-03-24",246.78,301.61
"583","2004-03-25",246.49,299.72
"584","2004-03-26",249.63,304.27
"585","2004-03-29",246.7,300.66
"586","2004-03-30",249.42,306.58
"587","2004-03-31",252.67,313.3
"588","2004-04-01",252.97,321.31
"589","2004-04-02",249.26,321.59
"590","2004-04-05",245.62,320.12
"591","2004-04-06",247.69,324.19
"592","2004-04-07",250,323.02
"593","2004-04-08",248.24,319.08
"594","2004-04-09",248.24,319.08
"595","2004-04-12",248.38,316.75
"596","2004-04-13",240.6,293.93
"597","2004-04-14",236.35,276.42
"598","2004-04-15",235.06,279.3
"599","2004-04-16",237.02,281.94
"600","2004-04-19",236.8,284.52
"601","2004-04-20",235.09,274.1
"602","2004-04-21",231.03,243.6
"603","2004-04-22",232.51,237.97
"604","2004-04-23",233.58,243.33
"605","2004-04-26",234.12,243.79
"606","2004-04-27",235.61,246.23
"607","2004-04-28",227.82,231.71
"608","2004-04-29",228.54,229.87
"609","2004-04-30",228.78,239.8
"610","2004-05-03",228.8,237.37
"611","2004-05-04",231.34,238.17
"612","2004-05-05",232.53,240.81
"613","2004-05-06",229.35,229.6
"614","2004-05-07",223.86,220.55
"615","2004-05-10",223.64,227.06
"616","2004-05-11",222.77,217.54
"617","2004-05-12",223.07,219.2
"618","2004-05-13",221.42,221.17
"619","2004-05-14",222.73,225.63
"620","2004-05-17",224.22,223.56
"621","2004-05-18",222.04,223.77
"622","2004-05-19",226.23,233.5
"623","2004-05-20",223.59,227.72
"624","2004-05-21",227.37,231.27
"625","2004-05-24",227.86,236.3
"626","2004-05-25",229.51,239.77
"627","2004-05-26",229.46,238.59
"628","2004-05-27",233.42,244.12
"629","2004-05-28",232.72,240.78
"630","2004-05-31",232.72,240.78
"631","2004-06-01",233.1,238.64
"632","2004-06-02",231.34,230.09
"633","2004-06-03",229.22,226.04
"634","2004-06-04",230.88,229
"635","2004-06-07",232.55,232.57
"636","2004-06-08",230.97,227.46
"637","2004-06-09",227.09,222.07
"638","2004-06-10",227.92,226.61
"639","2004-06-11",227.92,226.61
"640","2004-06-14",226.53,223.1
"641","2004-06-15",229.2,226.09
"642","2004-06-16",227.14,225.71
"643","2004-06-17",229.69,233.58
"644","2004-06-18",233.35,235.91
"645","2004-06-21",232.67,231.14
"646","2004-06-22",233.27,231.46
"647","2004-06-23",233.28,231.78
"648","2004-06-24",238,243.58
"649","2004-06-25",237.84,241.75
"650","2004-06-28",236.74,232.77
"651","2004-06-29",231.74,230.93
"652","2004-06-30",231.86,227.87
"653","2004-07-01",233.88,234.09
"654","2004-07-02",235.24,236.54
"655","2004-07-05",235.24,236.54
"656","2004-07-06",231.92,235.2
"657","2004-07-07",237.65,240.91
"658","2004-07-08",240.9,253.11
"659","2004-07-09",240.73,254.69
"660","2004-07-12",241.06,257.36
"661","2004-07-13",237.48,251.47
"662","2004-07-14",239.38,260.13
"663","2004-07-15",238.68,262.15
"664","2004-07-16",240.1,264.6
"665","2004-07-19",239.54,259.71
"666","2004-07-20",237.38,260.19
"667","2004-07-21",234.57,252.25
"668","2004-07-22",233.41,252.97
"669","2004-07-23",230.48,249.71
"670","2004-07-26",230.51,245.8
"671","2004-07-27",228.64,245.89
"672","2004-07-28",229.82,250.86
"673","2004-07-29",228.66,250.16
"674","2004-07-30",230.96,258.24
"675","2004-08-02",231.39,260.63
"676","2004-08-03",232.64,263.2
"677","2004-08-04",231.59,265.26
"678","2004-08-05",231.66,265.78
"679","2004-08-06",235.95,266.78
"680","2004-08-09",236.51,265.32
"681","2004-08-10",236.11,264.75
"682","2004-08-11",233.53,257.08
"683","2004-08-12",232.78,258.3
"684","2004-08-13",235.49,260.97
"685","2004-08-16",237.87,265.39
"686","2004-08-17",238.76,265.13
"687","2004-08-18",238.71,269.29
"688","2004-08-19",240.3,268.68
"689","2004-08-20",243.95,270.69
"690","2004-08-23",242.4,265.82
"691","2004-08-24",237.83,259.25
"692","2004-08-25",240.77,260.75
"693","2004-08-26",240.55,263.35
"694","2004-08-27",238.09,259.83
"695","2004-08-30",240.82,264.57
"696","2004-08-31",242.24,267.13
"697","2004-09-01",241.32,267.84
"698","2004-09-02",239.68,267.07
"699","2004-09-03",236.46,258.46
"700","2004-09-06",236.46,258.46
"701","2004-09-07",234.68,244.58
"702","2004-09-08",235.87,243.69
"703","2004-09-09",235.29,242.75
"704","2004-09-10",237.3,241.86
"705","2004-09-13",238.62,243.86
"706","2004-09-14",239.52,244.46
"707","2004-09-15",239.12,247.22
"708","2004-09-16",238.95,247.93
"709","2004-09-17",239.61,246.77
"710","2004-09-20",239.29,246.49
"711","2004-09-21",241.12,250.15
"712","2004-09-22",240.49,250.24
"713","2004-09-23",242.61,253.98
"714","2004-09-24",240.92,252.23
"715","2004-09-27",241.54,257.17
"716","2004-09-28",243.61,259.54
"717","2004-09-29",243.92,262.89
"718","2004-09-30",247.28,272.44
"719","2004-10-01",247.76,272.65
"720","2004-10-04",244.51,265.7
"721","2004-10-05",246.99,278.95
"722","2004-10-06",247.12,284.58
"723","2004-10-07",246.83,283.49
"724","2004-10-08",249.79,286.57
"725","2004-10-11",249.18,284.92
"726","2004-10-12",245.19,277.19
"727","2004-10-13",244.02,271.11
"728","2004-10-14",246.92,277.22
"729","2004-10-15",247.28,279.39
"730","2004-10-18",245.84,274.6
"731","2004-10-19",248.21,282.79
"732","2004-10-20",250.11,288.97
"733","2004-10-21",250.59,287.33
"734","2004-10-22",250.6,288.25
"735","2004-10-25",253.17,290.14
"736","2004-10-26",251.83,288.58
"737","2004-10-27",250.67,283.17
"738","2004-10-28",250.97,282.79
"739","2004-10-29",252.93,287.25
"740","2004-11-01",252.26,288.28
"741","2004-11-02",247.92,276.1
"742","2004-11-03",250.64,281.55
"743","2004-11-04",253.83,290.41
"744","2004-11-05",255.91,295.23
"745","2004-11-08",255.43,294.58
"746","2004-11-09",257.12,296.5
"747","2004-11-10",256.17,292.01
"748","2004-11-11",256.71,294.26
"749","2004-11-12",258.43,299.94
"750","2004-11-15",257.89,298.08
"751","2004-11-16",259.78,298.88
"752","2004-11-17",262.49,301.79
"753","2004-11-18",261.28,297.43
"754","2004-11-19",263.7,299.4
"755","2004-11-22",264.92,298.36
"756","2004-11-23",264.35,297.75
"757","2004-11-24",265.13,300.03
"758","2004-11-25",265.13,300.03
"759","2004-11-26",265.16,300.07
"760","2004-11-29",267.73,306.31
"761","2004-11-30",266.22,304.45
"762","2004-12-01",267.82,316.33
"763","2004-12-02",265.73,311.65
"764","2004-12-03",268.97,314.92
"765","2004-12-06",267.91,311.84
"766","2004-12-07",266.63,308.81
"767","2004-12-08",257.83,279.85
"768","2004-12-09",256.96,266.35
"769","2004-12-10",255.86,264.14
"770","2004-12-13",258.85,267.59
"771","2004-12-14",257.1,264.67
"772","2004-12-15",260,269.58
"773","2004-12-16",257.66,263.61
"774","2004-12-17",260.44,266.6
"775","2004-12-20",260.9,269.08
"776","2004-12-21",260.51,271.53
"777","2004-12-22",259.64,267.94
"778","2004-12-23",260.54,271.09
