"","price","speed","hd","ram","screen","cd","multi","premium","trend"
"78",3220,66,"340","8","15","yes","no","yes",1
"79",2595,50,"130","4","14","no","no","yes",1
"80",1629,25,"80","8","14","no","no","no",1
"81",3399,66,"230","4","15","no","no","yes",1
"82",2495,33,"245","8","14","no","no","yes",1
"83",2990,66,"210","8","15","no","no","yes",1
"84",2720,33,"250","8","15","yes","no","yes",1
"85",2595,25,"245","8","14","no","no","yes",1
"86",1999,33,"120","8","14","no","no","no",1
"87",2075,33,"210","8","14","no","no","yes",1
"88",1795,33,"130","4","14","no","no","yes",1
"89",1395,25,"85","2","14","no","no","yes",1
"90",3490,50,"330","8","14","no","no","yes",1
"91",2975,50,"210","4","17","no","no","yes",1
"92",2145,66,"130","4","14","no","no","yes",1
"93",2420,33,"170","8","15","yes","no","yes",1
"94",2505,50,"210","8","14","no","no","yes",1
"95",2995,66,"340","16","14","no","no","yes",2
"96",1495,25,"170","4","14","no","no","yes",2
"97",1999,33,"170","4","14","no","no","yes",2
"98",1920,33,"170","4","14","yes","no","yes",2
"99",2595,25,"340","16","14","no","no","yes",2
"100",1695,33,"170","4","14","no","no","yes",2
"101",1995,33,"250","4","14","no","no","yes",2
"102",2195,25,"245","8","14","no","no","yes",2
"103",1795,66,"85","2","14","no","no","yes",2
"104",2999,66,"330","4","15","no","no","yes",2
"105",1395,25,"85","2","14","no","no","yes",2
"106",2995,66,"250","8","17","no","no","yes",2
"107",2699,50,"212","8","14","no","no","yes",2
"108",1720,25,"170","4","14","yes","no","yes",2
"109",2045,66,"170","4","14","no","no","yes",2
"110",2145,66,"170","4","14","no","no","yes",2
"111",2995,66,"340","8","15","no","no","yes",2
"112",2095,33,"130","4","14","no","no","yes",2
"113",3895,50,"452","8","14","no","no","yes",2
"114",2895,50,"340","16","14","no","no","yes",2
"115",1499,25,"170","4","14","no","no","yes",2
"116",3165,66,"250","4","17","no","no","yes",2
"117",2525,50,"250","4","15","no","no","yes",2
"118",2325,66,"250","8","14","no","no","yes",2
"119",2499,33,"170","4","14","no","no","yes",2
"120",2799,33,"230","4","14","no","no","yes",2
"121",1795,33,"170","4","14","no","no","yes",2
"122",2199,33,"210","4","14","no","no","yes",2
"123",2355,50,"250","8","14","no","no","yes",2
"124",3220,66,"340","8","15","yes","no","yes",2
"125",2420,33,"170","8","15","yes","no","yes",2
"126",2544,33,"245","8","14","no","no","yes",2
"127",2945,50,"250","4","17","no","no","yes",2
"128",2295,33,"245","8","14","no","no","yes",2
"129",1495,33,"85","2","14","no","no","yes",2
"130",2065,50,"170","4","14","no","no","yes",2
"131",2295,66,"130","4","14","no","no","yes",2
"132",1799,25,"170","4","14","no","no","yes",2
"133",2220,33,"250","4","14","yes","no","yes",2
"134",2075,50,"170","4","14","no","no","yes",2
"135",1749,25,"120","4","14","no","no","yes",2
"136",2195,25,"245","8","14","no","no","yes",2
"137",2255,50,"250","8","14","no","no","yes",2
"138",2395,33,"250","4","15","no","no","yes",2
"139",2720,33,"250","8","15","yes","no","yes",2
"140",2195,50,"130","4","14","no","no","yes",2
"141",2225,33,"250","8","14","no","no","yes",2
"142",4020,66,"500","8","14","yes","no","yes",2
"143",2475,50,"250","8","14","no","no","yes",2
"144",1975,50,"170","4","14","no","no","yes",2
"145",3995,66,"452","8","14","no","no","yes",2
"146",2595,66,"245","8","14","no","no","yes",2
"147",2295,66,"170","4","14","no","no","yes",2
"148",2199,33,"212","4","14","no","no","yes",2
"149",1975,33,"250","8","14","no","no","yes",2
"150",3895,66,"500","8","15","no","no","yes",2
"151",2095,33,"250","4","15","no","no","yes",2
"152",2225,33,"250","8","15","no","no","yes",2
"153",3599,66,"330","8","14","no","no","yes",2
"154",2075,33,"250","8","14","no","no","yes",2
"155",2499,33,"212","8","14","no","no","yes",2
"156",2575,66,"250","8","15","no","no","yes",2
"157",2999,50,"170","4","14","no","no","yes",2
"158",2195,33,"170","8","15","no","no","yes",2
"159",3065,50,"250","4","17","no","no","yes",2
"160",3399,66,"230","4","15","no","no","yes",2
"161",1995,33,"130","4","14","no","no","yes",2
"162",1595,25,"170","4","15","no","no","yes",2
"163",2645,50,"250","4","15","no","no","yes",2
"164",2345,50,"250","8","14","no","no","yes",2
"165",2795,33,"340","16","14","no","no","yes",2
"166",1895,25,"130","4","14","no","no","yes",2
"167",2495,50,"245","8","14","no","no","yes",2
"168",2599,50,"210","4","14","no","no","yes",2
"169",1595,33,"85","2","14","no","no","yes",2
"170",1999,33,"120","8","14","no","no","no",2
"171",2425,66,"250","8","14","no","no","yes",2
"172",2495,33,"250","8","15","no","no","yes",2
"173",1795,33,"170","4","15","no","no","yes",2
"174",2744,66,"245","8","14","no","no","yes",2
"175",3795,33,"452","8","14","no","no","yes",2
"176",2745,66,"250","4","15","no","no","yes",2
"177",2399,50,"212","4","14","no","no","yes",2
"178",2645,33,"250","8","17","no","no","yes",2
"179",1945,33,"170","4","14","no","no","yes",2
"180",1695,50,"85","2","14","no","no","yes",2
"181",2195,50,"170","4","14","no","no","yes",2
"182",2815,33,"250","4","17","no","no","yes",2
"183",1899,25,"120","4","14","no","no","yes",2
"184",2644,50,"245","8","14","no","no","yes",2
"185",3795,66,"500","8","14","no","no","yes",2
"186",2395,33,"245","8","14","no","no","yes",2
"187",1695,33,"170","4","14","no","no","yes",2
"188",2575,66,"250","8","14","no","no","yes",2
"189",2695,33,"340","16","14","no","no","yes",2
"190",2999,66,"245","16","15","no","no","yes",3
"191",1899,33,"170","4","14","no","no","yes",3
"192",2499,50,"210","4","14","no","no","yes",3
"193",1999,33,"213","8","14","no","no","yes",3
"194",2055,50,"170","4","14","no","no","yes",3
"195",2065,50,"170","4","14","no","no","yes",3
"196",2055,33,"250","8","14","no","no","yes",3
"197",2099,33,"212","4","14","no","no","yes",3
"198",1995,33,"130","4","14","no","no","yes",3
"199",2220,33,"250","4","14","yes","no","yes",3
"200",3220,66,"340","8","15","yes","no","yes",3
"201",3995,66,"452","8","14","no","no","yes",3
"202",2785,33,"250","8","17","no","no","yes",3
"203",2475,50,"250","8","15","no","no","yes",3
"204",1499,25,"170","4","14","no","no","yes",3
"205",1595,33,"85","2","14","no","no","yes",3
"206",2099,66,"120","4","14","no","no","yes",3
"207",2885,66,"170","8","15","no","no","yes",3
"208",3795,33,"452","8","14","no","no","yes",3
"209",2295,66,"170","4","14","no","no","yes",3
"210",3895,66,"500","8","15","no","no","yes",3
"211",2395,33,"245","8","14","no","no","yes",3
"212",3135,66,"250","8","17","no","no","yes",3
"213",2420,33,"170","8","15","yes","no","yes",3
"214",2125,66,"170","4","14","no","no","yes",3
"215",2985,66,"250","8","17","no","no","yes",3
"216",1395,25,"85","2","14","no","no","yes",3
"217",2295,33,"245","8","14","no","no","yes",3
"218",2095,33,"130","4","14","no","no","yes",3
"219",2795,33,"340","16","14","no","no","yes",3
"220",1945,33,"170","4","14","no","no","yes",3
"221",2635,33,"250","8","17","no","no","yes",3
"222",2695,66,"250","8","15","no","no","yes",3
"223",2199,50,"213","8","14","no","no","yes",3
"224",3895,50,"452","8","14","no","no","yes",3
"225",2599,50,"212","8","14","no","no","yes",3
"226",2745,66,"170","8","14","no","no","yes",3
"227",1920,33,"170","4","14","yes","no","yes",3
"228",2895,50,"340","16","14","no","no","yes",3
"229",2199,33,"210","4","14","no","no","yes",3
"230",2915,50,"250","8","17","no","no","yes",3
"231",1999,33,"120","8","14","no","no","no",3
"232",2720,33,"250","8","15","yes","no","yes",3
"233",1999,33,"170","4","14","no","no","yes",3
"234",2195,33,"170","8","15","no","no","yes",3
"235",2195,25,"245","8","14","no","no","yes",3
"236",2295,66,"130","4","14","no","no","yes",3
"237",1595,25,"170","4","15","no","no","yes",3
"238",1695,33,"170","4","14","no","no","yes",3
"239",1495,25,"170","4","14","no","no","yes",3
"240",3795,66,"500","8","14","no","no","yes",3
"241",1699,33,"120","4","14","no","no","yes",3
"242",1895,25,"130","4","14","no","no","yes",3
"243",2335,50,"250","8","14","no","no","yes",3
"244",2495,50,"245","8","14","no","no","yes",3
"245",2575,66,"250","8","14","no","no","yes",3
"246",2495,33,"250","8","15","no","no","yes",3
"247",3299,66,"245","16","15","no","no","yes",3
"248",2699,66,"213","8","14","no","no","yes",3
"249",1695,50,"85","2","14","no","no","yes",3
"250",2999,66,"170","4","14","no","no","yes",3
"251",2399,66,"213","8","14","no","no","yes",3
"252",1499,25,"170","4","14","no","no","yes",3
"253",2395,33,"170","8","14","no","no","yes",3
"254",1720,25,"170","4","14","yes","no","yes",3
"255",1495,33,"85","2","14","no","no","yes",3
"256",2399,66,"120","4","14","no","no","yes",3
"257",3035,50,"250","8","17","no","no","yes",3
"258",2449,33,"230","4","14","no","no","yes",3
"259",1775,33,"170","4","14","no","no","yes",3
"260",2599,33,"245","16","15","no","no","yes",3
"261",2995,66,"340","8","15","no","no","yes",3
"262",2345,33,"250","8","15","no","no","yes",3
"263",2535,33,"170","8","15","no","no","yes",3
"264",2345,50,"250","8","14","no","no","yes",3
"265",1899,50,"120","4","14","no","no","yes",3
"266",2195,50,"130","4","14","no","no","yes",3
"267",2645,50,"170","8","14","no","no","yes",3
"268",2785,50,"170","8","15","no","no","yes",3
"269",2799,50,"245","16","15","no","no","yes",3
"270",2999,66,"340","4","15","no","no","yes",3
"271",2095,33,"250","4","15","no","no","yes",3
"272",4020,66,"500","8","14","yes","no","yes",3
"273",2595,50,"250","8","15","no","no","yes",3
"274",2695,33,"340","16","14","no","no","yes",3
"275",2195,33,"250","8","15","no","no","yes",3
"276",2995,66,"340","16","14","no","no","yes",3
"277",2195,50,"170","4","14","no","no","yes",3
"278",2399,33,"212","8","14","no","no","yes",3
"279",2405,66,"250","8","14","no","no","yes",3
"280",1795,66,"85","2","14","no","no","yes",3
"281",2225,33,"250","8","14","no","no","yes",3
"282",1995,33,"250","4","14","no","no","yes",3
"283",2299,50,"212","4","14","no","no","yes",3
"284",1795,33,"170","4","15","no","no","yes",3
"285",2545,66,"250","8","15","no","no","yes",3
"286",2595,66,"245","8","14","no","no","yes",3
"287",1399,25,"170","4","14","no","no","yes",3
"288",2475,50,"250","8","14","no","no","yes",3
"289",2595,25,"340","16","14","no","no","yes",3
"290",1695,50,"85","2","14","no","no","yes",4
"291",3995,66,"452","8","14","no","no","yes",4
"292",2999,66,"240","4","15","no","no","yes",4
"293",2495,50,"245","8","14","no","no","yes",4
"294",2455,66,"250","8","14","no","no","yes",4
"295",2299,50,"212","4","14","no","no","yes",4
"296",2690,25,"340","16","14","no","no","yes",4
"297",2155,33,"250","8","14","no","no","yes",4
"298",2890,33,"340","16","14","no","no","yes",4
"299",1899,33,"170","4","14","no","no","yes",4
"300",1595,25,"170","4","14","no","no","yes",4
"301",1990,25,"130","4","14","no","no","yes",4
"302",1895,25,"130","4","14","no","no","yes",4
"303",1895,33,"170","4","14","no","no","yes",4
"304",2799,50,"245","16","15","no","no","yes",4
"305",2590,50,"245","8","14","no","no","yes",4
"306",1499,25,"170","4","14","no","no","yes",4
"307",2955,50,"250","8","17","no","no","yes",4
"308",2285,50,"250","8","14","no","no","yes",4
"309",2475,50,"250","8","15","no","no","yes",4
"310",3795,33,"452","8","14","no","no","yes",4
"311",1999,33,"213","8","14","no","no","yes",4
"312",2599,50,"212","8","14","no","no","yes",4
"313",2895,50,"340","16","14","no","no","yes",4
"314",3895,50,"452","8","14","no","no","yes",4
"315",2695,66,"250","8","14","no","no","yes",4
"316",1995,50,"170","4","14","no","no","yes",4
"317",2399,66,"120","4","14","no","no","yes",4
"318",2605,33,"250","8","17","no","no","yes",4
"319",2335,66,"250","8","14","no","no","yes",4
"320",2195,66,"170","4","14","no","no","yes",4
"321",2425,66,"250","8","15","no","no","yes",4
"322",2995,66,"340","16","14","no","no","yes",4
"323",2599,33,"245","16","15","no","no","yes",4
"324",2390,33,"245","8","14","no","no","yes",4
"325",1690,33,"85","2","14","no","no","yes",4
"326",1495,33,"85","2","14","no","no","yes",4
"327",2395,33,"250","8","14","no","no","yes",4
"328",2099,33,"212","4","14","no","no","yes",4
"329",3090,66,"340","16","14","no","no","yes",4
"330",2599,33,"240","4","15","no","no","yes",4
"331",1999,33,"170","4","14","no","no","yes",4
"332",2195,50,"130","4","14","no","no","yes",4
"333",2190,33,"130","4","14","no","no","yes",4
"334",2025,50,"170","4","14","no","no","yes",4
"335",1699,33,"120","4","14","no","no","yes",4
"336",2790,33,"340","16","14","no","no","yes",4
"337",1795,33,"170","4","14","no","no","yes",4
"338",2990,50,"340","16","14","no","no","yes",4
"339",2905,66,"250","8","17","no","no","yes",4
"340",2825,33,"250","8","17","no","no","yes",4
"341",2390,66,"130","4","14","no","no","yes",4
"342",2699,66,"213","8","14","no","no","yes",4
"343",2995,66,"340","8","15","no","no","yes",4
"344",1590,33,"85","2","14","no","no","yes",4
"345",2345,33,"250","8","15","no","no","yes",4
"346",2199,50,"213","8","14","no","no","yes",4
"347",2290,50,"130","4","14","no","no","yes",4
"348",2595,50,"250","8","15","no","no","yes",4
"349",2515,33,"250","8","15","no","no","yes",4
"350",2145,50,"170","4","14","no","no","yes",4
"351",2405,50,"250","8","14","no","no","yes",4
"352",2525,50,"250","8","14","no","no","yes",4
"353",2595,50,"250","8","15","no","no","yes",4
"354",2090,33,"130","4","14","no","no","yes",4
"355",2075,66,"170","4","14","no","no","yes",4
"356",2799,50,"240","4","15","no","no","yes",4
"357",3299,66,"245","16","15","no","no","yes",4
"358",2645,66,"250","8","15","no","no","yes",4
"359",3125,66,"250","8","17","no","no","yes",4
"360",2295,33,"245","8","14","no","no","yes",4
"361",1775,33,"170","4","14","no","no","yes",4
"362",2095,33,"130","4","14","no","no","yes",4
"363",2155,50,"250","8","14","no","no","yes",4
"364",3075,50,"250","8","17","no","no","yes",4
"365",2815,66,"250","8","15","no","no","yes",4
"366",1599,25,"170","4","14","no","no","yes",4
"367",2099,33,"120","4","14","no","no","no",4
"368",2645,50,"250","8","15","no","no","yes",4
"369",1795,66,"85","2","14","no","no","yes",4
"370",2035,33,"250","8","14","no","no","yes",4
"371",2490,33,"245","8","14","no","no","yes",4
"372",3225,66,"212","4","15","no","no","no",4
"373",2690,66,"245","8","14","no","no","yes",4
"374",2195,25,"245","8","14","no","no","yes",4
"375",1890,66,"85","2","14","no","no","yes",4
"376",1995,33,"130","4","14","no","no","yes",4
"377",2695,33,"340","16","14","no","no","yes",4
"378",2595,25,"340","16","14","no","no","yes",4
"379",1595,33,"85","2","14","no","no","yes",4
"380",1490,25,"85","2","14","no","no","yes",4
"381",2125,33,"250","8","15","no","no","yes",4
"382",2399,66,"213","8","14","no","no","yes",4
"383",2795,33,"340","16","14","no","no","yes",4
"384",2290,25,"245","8","14","no","no","yes",4
"385",2395,33,"245","8","14","no","no","yes",4
"386",2399,33,"212","8","14","no","no","yes",4
"387",1790,50,"85","2","14","no","no","yes",4
"388",2099,66,"120","4","14","no","no","yes",4
"389",1395,25,"85","2","14","no","no","yes",4
"390",1895,50,"170","4","14","no","no","yes",4
"391",2295,66,"130","4","14","no","no","yes",4
"392",2595,66,"245","8","14","no","no","yes",4
"393",1899,50,"120","4","14","no","no","yes",4
"394",1399,25,"170","4","14","no","no","yes",4
"395",2999,66,"170","4","14","no","no","yes",4
"396",2999,66,"245","16","15","no","no","yes",4
"397",2449,33,"230","4","14","no","no","yes",4
"398",1795,33,"170","4","14","no","no","yes",5
"399",1899,33,"212","4","14","no","no","yes",5
"400",2395,33,"340","8","14","no","no","yes",5
"401",2399,50,"320","8","14","no","no","yes",5
"402",1595,33,"170","4","14","no","no","yes",5
"403",2490,33,"340","8","14","no","no","yes",5
"404",2995,66,"452","16","14","no","no","yes",5
"405",2890,33,"452","16","14","no","no","yes",5
"406",2190,33,"214","4","15","no","no","yes",5
"407",2399,66,"213","8","14","no","no","yes",5
"408",2285,50,"250","8","14","no","no","yes",5
"409",2590,33,"340","8","15","no","no","yes",5
"410",2795,33,"452","16","14","no","no","yes",5
"411",1495,33,"170","4","14","no","no","yes",5
"412",2075,66,"170","4","14","no","no","yes",5
"413",2090,33,"214","4","15","no","no","yes",5
"414",2195,33,"250","8","15","no","no","yes",5
"415",3999,66,"340","16","17","no","no","yes",5
"416",1699,33,"120","4","14","no","no","yes",5
"417",1995,33,"250","8","14","no","no","yes",5
"418",1690,33,"107","2","14","no","no","yes",5
"419",3495,33,"452","8","14","no","no","yes",5
"420",2195,66,"170","4","14","no","no","yes",5
"421",3090,66,"452","16","14","no","no","yes",5
"422",2690,25,"452","16","14","no","no","yes",5
"423",1895,25,"214","4","14","no","no","yes",5
"424",2495,50,"250","8","15","no","no","yes",5
"425",2405,50,"250","8","14","no","no","yes",5
"426",1595,33,"107","2","14","no","no","yes",5
"427",2890,33,"452","16","15","no","no","yes",5
"428",2390,25,"340","8","14","no","no","yes",5
"429",1690,33,"107","2","15","no","no","yes",5
"430",2295,25,"340","8","14","no","no","yes",5
"431",2790,33,"452","16","14","no","no","yes",5
"432",2695,33,"452","16","14","no","no","yes",5
"433",2595,25,"452","16","14","no","no","yes",5
"434",1995,33,"214","4","14","no","no","yes",5
"435",2049,33,"405","4","14","no","no","yes",5
"436",1399,25,"170","4","14","no","no","yes",5
"437",2805,33,"250","8","17","no","no","yes",5
"438",2019,33,"120","4","14","no","no","no",5
"439",3055,50,"250","8","17","no","no","yes",5
"440",2990,50,"452","16","14","no","no","yes",5
"441",2605,33,"250","8","17","no","no","yes",5
"442",2125,33,"250","8","15","no","no","yes",5
"443",1490,25,"107","2","14","no","no","yes",5
"444",1699,33,"170","4","14","no","no","yes",5
"445",2495,33,"340","8","14","no","no","yes",5
"446",2599,33,"245","16","15","no","no","yes",5
"447",2220,33,"250","8","14","yes","no","yes",5
"448",1590,33,"107","2","15","no","no","yes",5
"449",1499,33,"120","4","14","no","no","yes",5
"450",2625,66,"250","8","15","no","no","yes",5
"451",1395,25,"107","2","14","no","no","yes",5
"452",2395,33,"250","8","14","no","no","yes",5
"453",2420,33,"250","8","15","yes","no","yes",5
"454",2425,66,"250","8","15","no","no","yes",5
"455",2515,33,"250","8","15","no","no","yes",5
"456",2375,50,"250","8","15","no","no","yes",5
"457",3105,66,"250","8","17","no","no","yes",5
"458",2390,66,"214","4","15","no","no","yes",5
"459",2905,66,"250","8","17","no","no","yes",5
"460",2690,25,"452","16","15","no","no","yes",5
"461",2695,66,"250","8","14","no","no","yes",5
"462",1790,50,"107","2","14","no","no","yes",5
"463",3495,66,"500","8","14","no","no","yes",5
"464",2790,33,"452","16","15","no","no","yes",5
"465",1790,50,"107","2","15","no","no","yes",5
"466",1795,66,"107","2","14","no","no","yes",5
"467",2995,66,"340","8","15","yes","no","yes",5
"468",1995,50,"170","4","14","no","no","yes",5
"469",2599,50,"405","8","14","no","no","yes",5
"470",3720,66,"500","8","14","yes","no","yes",5
"471",2155,33,"250","8","14","no","no","yes",5
"472",1599,25,"170","4","14","no","no","yes",5
"473",2525,50,"250","8","14","no","no","yes",5
"474",2299,33,"405","8","14","no","no","yes",5
"475",1895,33,"170","4","14","no","no","yes",5
"476",1490,25,"107","2","15","no","no","yes",5
"477",2035,33,"250","8","14","no","no","yes",5
"478",1720,33,"170","4","14","yes","no","yes",5
"479",2595,50,"250","8","15","no","no","yes",5
"480",2290,50,"214","4","15","no","no","yes",5
"481",2455,50,"250","8","15","no","no","yes",5
"482",1695,50,"107","2","14","no","no","yes",5
"483",2249,50,"230","4","14","no","no","yes",5
"484",1999,50,"212","4","14","no","no","yes",5
"485",2455,66,"250","8","14","no","no","yes",5
"486",2595,50,"340","8","14","no","no","yes",5
"487",2859,66,"212","4","15","no","no","no",5
"488",2599,50,"405","4","15","no","no","yes",5
"489",2855,50,"250","8","17","no","no","yes",5
"490",2790,66,"340","8","14","no","no","yes",5
"491",3990,66,"1000","16","14","no","no","yes",5
"492",3595,50,"452","8","14","no","no","yes",5
"493",2195,50,"214","4","14","no","no","yes",5
"494",3599,66,"405","8","14","no","no","yes",5
"495",2690,50,"340","8","15","no","no","yes",5
"496",1999,33,"213","8","14","no","no","yes",5
"497",2990,50,"452","16","15","no","no","yes",5
"498",1890,66,"107","2","14","no","no","yes",5
"499",2190,33,"214","4","14","no","no","yes",5
"500",2720,50,"250","8","15","yes","no","yes",5
"501",2145,50,"170","4","14","no","no","yes",5
"502",2295,66,"214","4","14","no","no","yes",5
"503",1990,25,"214","4","15","no","no","yes",5
"504",2695,66,"340","8","14","no","no","yes",5
"505",3149,66,"230","8","14","no","no","yes",5
"506",1775,33,"170","4","14","no","no","yes",5
"507",2490,33,"340","8","15","no","no","yes",5
"508",3599,33,"340","16","17","no","no","yes",5
"509",2690,50,"340","8","14","no","no","yes",5
"510",3195,66,"540","8","15","no","no","yes",5
"511",3695,66,"452","8","14","no","no","yes",5
"512",2645,50,"250","8","15","no","no","yes",5
"513",3090,66,"452","16","15","no","no","yes",5
"514",1890,66,"107","2","15","no","no","yes",5
"515",1999,33,"170","4","14","no","no","yes",5
"516",2935,50,"250","8","17","no","no","yes",5
"517",1990,25,"214","4","14","no","no","yes",5
"518",2290,50,"214","4","14","no","no","yes",5
"519",2390,66,"214","4","14","no","no","yes",5
"520",2025,50,"170","4","14","no","no","yes",5
"521",2095,33,"214","4","14","no","no","yes",5
"522",2590,33,"340","8","14","no","no","yes",5
"523",1499,25,"170","4","14","no","no","yes",5
"524",2325,33,"250","8","15","no","no","yes",5
"525",2099,66,"120","4","14","no","no","yes",5
"526",2999,66,"245","16","15","no","no","yes",5
"527",2790,66,"340","8","15","no","no","yes",5
"528",1590,33,"107","2","14","no","no","yes",5
"529",2499,50,"170","4","14","no","no","yes",5
"530",2575,50,"250","8","15","no","no","yes",5
"531",2390,25,"340","8","15","no","no","yes",5
"532",1495,33,"107","2","14","no","no","yes",5
"533",2895,50,"452","16","14","no","no","yes",5
"534",2335,66,"250","8","14","no","no","yes",5
"535",2090,33,"214","4","14","no","no","yes",5
"536",2815,66,"250","8","15","no","no","yes",5
"537",2195,50,"250","4","14","no","no","yes",6
"538",1899,33,"170","4","14","no","no","yes",6
"539",3599,66,"450","8","14","no","no","yes",6
"540",2095,33,"250","4","14","no","no","yes",6
"541",2690,33,"452","16","15","no","no","yes",6
"542",2795,66,"250","8","15","no","no","yes",6
"543",2799,33,"240","4","14","no","no","no",6
"544",2698,66,"245","8","14","yes","no","yes",6
"545",2390,33,"340","8","14","no","no","yes",6
"546",2695,66,"340","8","14","no","no","yes",6
"547",2095,33,"214","4","14","no","no","yes",6
"548",2599,50,"450","8","15","no","no","yes",6
"549",1825,50,"170","4","14","no","no","yes",6
"550",1790,50,"107","2","15","no","no","yes",6
"551",2720,66,"340","8","14","yes","no","yes",6
"552",1295,25,"107","2","14","no","no","yes",6
"553",2990,50,"452","16","14","no","no","yes",6
"554",1890,66,"107","2","15","no","no","yes",6
"555",2595,33,"452","16","14","no","no","yes",6
"556",1490,33,"107","2","14","no","no","yes",6
"557",2075,50,"250","8","14","no","no","yes",6
"558",3699,33,"345","16","17","no","no","yes",6
"559",2690,33,"452","16","14","no","no","yes",6
"560",2245,66,"250","4","15","no","no","yes",6
"561",3999,66,"345","16","17","no","no","yes",6
"562",2195,50,"214","4","14","no","no","yes",6
"563",2999,50,"240","4","14","no","no","no",6
"564",1895,33,"212","8","14","no","no","yes",6
"565",2295,50,"212","8","15","no","no","yes",6
"566",2190,33,"214","4","14","no","no","yes",6
"567",1690,33,"107","2","14","no","no","yes",6
"568",1390,25,"107","2","15","no","no","yes",6
"569",1890,25,"214","4","14","no","no","yes",6
"570",2290,25,"340","8","14","no","no","yes",6
"571",1720,33,"170","4","14","yes","no","yes",6
"572",2325,66,"250","8","15","no","no","yes",6
"573",1699,33,"170","4","14","no","no","yes",6
"574",2045,50,"250","4","15","no","no","yes",6
"575",2299,66,"120","4","14","no","no","no",6
"576",2755,66,"250","8","17","no","no","yes",6
"577",2145,66,"250","4","14","no","no","yes",6
"578",3090,66,"452","16","14","no","no","yes",6
"579",2790,66,"340","8","14","no","no","yes",6
"580",2099,33,"120","4","14","no","no","no",6
